eng	y_fit
11.56	0.23553
11.57	0.23515
11.58	0.23477
11.59	0.23439
11.6	0.23401
11.61	0.23363
11.62	0.23325
11.63	0.23287
11.64	0.2325
11.65	0.23212
11.66	0.23175
11.67	0.23137
11.68	0.231
11.69	0.23063
11.7	0.23025
11.71	0.22988
11.72	0.22951
11.73	0.22914
11.74	0.22877
11.75	0.22841
11.76	0.22804
11.77	0.22767
11.78	0.22731
11.79	0.22694
11.8	0.22658
11.81	0.22621
11.82	0.22585
11.83	0.22549
11.84	0.22513
11.85	0.22477
11.86	0.22441
11.87	0.22405
11.88	0.22369
11.89	0.22334
11.9	0.22298
11.91	0.22263
11.92	0.22227
11.93	0.22192
11.94	0.22156
11.95	0.22121
11.96	0.22086
11.97	0.22051
11.98	0.22016
11.99	0.21981
12.0	0.21946
12.01	0.21911
12.02	0.21876
12.03	0.21842
12.04	0.21807
12.05	0.21773
12.06	0.21738
12.07	0.21704
12.08	0.2167
12.09	0.21635
12.1	0.21601
12.11	0.21567
12.12	0.21533
12.13	0.21499
12.14	0.21466
12.15	0.21432
12.16	0.21398
12.17	0.21364
12.18	0.21331
12.19	0.21297
12.2	0.21264
12.21	0.21231
12.22	0.21197
12.23	0.21164
12.24	0.21131
12.25	0.21098
12.26	0.21065
12.27	0.21032
12.28	0.20999
12.29	0.20966
12.3	0.20934
12.31	0.20901
12.32	0.20868
12.33	0.20836
12.34	0.20803
12.35	0.20771
12.36	0.20739
12.37	0.20706
12.38	0.20674
12.39	0.20642
12.4	0.2061
12.41	0.20578
12.42	0.20546
12.43	0.20514
12.44	0.20483
12.45	0.20451
12.46	0.20419
12.47	0.20388
12.48	0.20356
12.49	0.20325
12.5	0.20293
12.51	0.20262
12.52	0.20231
12.53	0.20199
12.54	0.20168
12.55	0.20137
12.56	0.20106
12.57	0.20075
12.58	0.20044
12.59	0.20013
12.6	0.19983
12.61	0.19952
12.62	0.19921
12.63	0.19891
12.64	0.1986
12.65	0.1983
12.66	0.19799
12.67	0.19769
12.68	0.19739
12.69	0.19709
12.7	0.19678
12.71	0.19648
12.72	0.19618
12.73	0.19588
12.74	0.19558
12.75	0.19528
12.76	0.19499
12.77	0.19469
12.78	0.19439
12.79	0.1941
12.8	0.1938
12.81	0.19351
12.82	0.19321
12.83	0.19292
12.84	0.19262
12.85	0.19233
12.86	0.19204
12.87	0.19175
12.88	0.19146
12.89	0.19117
12.9	0.19088
12.91	0.19059
12.92	0.1903
12.93	0.19001
12.94	0.18972
12.95	0.18944
12.96	0.18915
12.97	0.18886
12.98	0.18858
12.99	0.18829
13.0	0.18801
13.01	0.18773
13.02	0.18744
13.03	0.18716
13.04	0.18688
13.05	0.1866
13.06	0.18632
13.07	0.18604
13.08	0.18576
13.09	0.18548
13.1	0.1852
13.11	0.18492
13.12	0.18464
13.13	0.18437
13.14	0.18409
13.15	0.18382
13.16	0.18354
13.17	0.18327
13.18	0.18299
13.19	0.18272
13.2	0.18244
13.21	0.18217
13.22	0.1819
13.23	0.18163
13.24	0.18136
13.25	0.18109
13.26	0.18082
13.27	0.18055
13.28	0.18028
13.29	0.18001
13.3	0.17974
13.31	0.17947
13.32	0.17921
13.33	0.17894
13.34	0.17867
13.35	0.17841
13.36	0.17814
13.37	0.17788
13.38	0.17761
13.39	0.17735
13.4	0.17709
13.41	0.17683
13.42	0.17656
13.43	0.1763
13.44	0.17604
13.45	0.17578
13.46	0.17552
13.47	0.17526
13.48	0.175
13.49	0.17474
13.5	0.17449
13.51	0.17423
13.52	0.17397
13.53	0.17372
13.54	0.17346
13.55	0.1732
13.56	0.17295
13.57	0.17269
